,X,Y
0,0.0,1.0
1,0.01,1.0
2,0.02,1.0
3,0.03,0.9666899930020993
4,0.04,0.9333799860041988
5,0.05,0.9333799860041988
6,0.06,0.7668299510146956
7,0.07,0.8334499650104968
8,0.08,0.7004665267086542
9,0.09,0.6006764637275486
10,0.1,0.43412642873804536
11,0.11,0.4008864007464428
12,0.12,0.3678563097737346
13,0.13,0.267669699090273
14,0.14,0.20144623279682772
15,0.15,0.20107301142990444
16,0.16,0.03452297644040119
17,0.17,0.0013762537905295073
18,0.18,0.001772801492885467
19,0.19,0.0014462327968276178
20,0.2,0.0009097270818754371
