,X,Y
0,0.0,1.0
1,0.01,0.8666702033598586
2,0.02,0.9000061892130858
3,0.03,0.7666737400530506
4,0.04,0.6333457117595048
5,0.05,0.5333598585322723
6,0.06,0.5666799292661362
7,0.07,0.43337665782493356
8,0.08,0.2667259062776303
9,0.09,0.33338992042440313
10,0.1,0.0667771883289125
11,0.11,0.1669124668435013
12,0.12,0.06695225464190986
13,0.13,0.000129973474801061
14,0.14,0.00015384615384615382
15,0.15,7.515473032714414e-05
16,0.16,0.00010875331564986738
17,0.17,0.00012820512820512815
18,0.18,6.719717064544652e-05
19,0.19,6.100795755968171e-05
20,0.2,7.603890362511055e-05
