,X,Y
0,0.0,1.0
1,0.01,1.0
2,0.02,1.0
3,0.03,1.0
4,0.04,0.0010000000000000007
5,0.05,0.0010000000000000007
6,0.06,0.0010000000000000007
7,0.07,0.0010000000000000007
8,0.08,0.0010000000000000007
9,0.09,0.0010000000000000007
10,0.1,0.0010000000000000007
11,0.11,0.0010000000000000007
12,0.12,0.0010000000000000007
13,0.13,0.0010000000000000007
14,0.14,0.0010000000000000007
15,0.15,0.0010000000000000007
16,0.16,0.0010000000000000007
17,0.17,0.0010000000000000007
18,0.18,0.0010000000000000007
19,0.19,0.0010000000000000007
20,0.2,0.0010000000000000007
