,X,Y
0,0.0,0.998679146131887
1,0.01,0.9321014832384122
2,0.02,0.8988126517916748
3,0.03,0.8988131252160002
4,0.04,0.8655238203449375
5,0.05,0.79894852457309
6,0.06,0.6990801365355757
7,0.07,0.5659314386891825
8,0.08,0.43279978411850745
9,0.09,0.2996714435181108
10,0.1,0.26639066028490677
11,0.11,0.1665246393690201
12,0.12,4.923612985082402e-05
13,0.13,8.474295426247593e-05
14,0.14,0.03331581663329027
15,0.15,4.686900822338054e-05
16,0.16,5.0182978501801404e-05
17,0.17,2.5564913576389375e-05
18,0.18,2.509148925090068e-05
19,0.19,3.1719429807742375e-05
20,0.2,1.9883821670525076e-05
