,X,Y
0,0.0,1.0
1,0.01,1.0
2,0.02,1.0
3,0.03,0.8338945283486011
4,0.04,0.7000907815465874
5,0.05,0.8000495172072295
6,0.06,0.5668152182883551
7,0.07,0.5669059998349426
8,0.08,0.33848312288520255
9,0.09,0.11667079310060242
10,0.1,0.08186019641825532
11,0.11,0.08169513906082365
12,0.12,0.012907485351159521
13,0.13,0.0999917471321284
14,0.14,0.0082363621358422
15,0.15,0.000742758108442684
16,0.16,0.0004704134686803667
17,0.17,0.0003218618469918298
18,0.18,0.000412643393579269
19,0.19,0.0005529421473962206
20,0.2,0.0003136089791202445
