,X,Y
0,0.0,1.0
1,0.01,0.9333448414753439
2,0.02,0.8666896829506877
3,0.03,0.7337418723747053
4,0.04,0.6306807065999193
5,0.05,0.5974969791127223
6,0.06,0.5250359629437823
7,0.07,0.4534898440646758
8,0.08,0.2221244030151332
9,0.09,0.22242361470740554
10,0.1,0.22202658380804427
11,0.11,0.3167501006962427
12,0.12,0.2211749812992693
13,0.13,0.1081305023303988
14,0.14,0.044640082858622455
15,0.15,0.07003279820472987
16,0.16,0.04435813337936588
17,0.17,0.01881005811611716
18,0.18,0.01309626560791759
19,0.19,0.01864894412797056
20,0.2,0.006812820070199668
