,X,Y
0,0.0,0.9978847170809101
1,0.01,0.86486867618544
2,0.02,0.6320906046183676
3,0.03,0.7318526352899701
4,0.04,0.5323462013044244
5,0.05,0.6985986250661026
6,0.06,0.6321170456548563
7,0.07,0.33284858099770837
8,0.08,0.46589987660849635
9,0.09,0.33297197250132204
10,0.1,0.13326282390269698
11,0.11,0.10014101886127266
12,0.12,0.0341353781068218
13,0.13,0.03361537105587872
14,0.14,0.06715141900229156
15,0.15,0.03381808566895823
16,0.16,0.0009695046712497799
17,0.17,0.0008813678829543457
18,0.18,0.001172219284329279
19,0.19,0.000625771196897585
20,0.2,0.0008901815617838889
