,X,Y
0,0.0,1.0
1,0.01,0.7666696832579185
2,0.02,0.6333393665158373
3,0.03,0.666670976082741
4,0.04,0.600009480715363
5,0.05,0.3333471234647706
6,0.06,0.43336694677871157
7,0.07,0.16673044602456366
8,0.08,0.06677698771816411
9,0.09,8.05860805860806e-05
10,0.1,9.22215039862099e-05
11,0.11,5.1712992889463466e-05
12,0.12,7.153630683042449e-05
13,0.13,2.5425554837319556e-05
14,0.14,4.654169360051711e-05
15,0.15,8.87739711269123e-05
16,0.16,4.4817927170868355e-05
17,0.17,4.137039431157079e-05
18,0.18,2.7580262874380538e-05
19,0.19,3.533721180780005e-05
20,0.2,2.3701788407670775e-05
